epoch,acc_subj,std_subj,acc_MR,std_MR
20,0.8153,0.0175,0.5996,0.021
30,0.8636,0.0078,0.6622,0.0107
40,0.8835,0.0065,0.6914,0.0155
50,0.8883,0.0074,0.7013,0.0156
60,0.8907,0.0084,0.7086,0.0163
70,0.8917,0.0104,0.7127,0.0106
80,0.8923,0.011,0.7132,0.0176
90,0.892,0.0065,0.7109,0.0119
100,0.892,0.0089,0.7158,0.0095
