epoch,acc_subj,std_subj,acc_MR,std_MR
"[20, 30, 40, 50, 60, 70, 80, 90, 100]",0.8412,0.0062,0.6093,0.0172
"[20, 30, 40, 50, 60, 70, 80, 90, 100]",0.8745,0.0071,0.6682,0.0099
"[20, 30, 40, 50, 60, 70, 80, 90, 100]",0.8706,0.007,0.665,0.0123
"[20, 30, 40, 50, 60, 70, 80, 90, 100]",0.8729,0.0088,0.6659,0.0144
"[20, 30, 40, 50, 60, 70, 80, 90, 100]",0.8741,0.0103,0.6638,0.0131
"[20, 30, 40, 50, 60, 70, 80, 90, 100]",0.8754,0.0084,0.664,0.0125
"[20, 30, 40, 50, 60, 70, 80, 90, 100]",0.8743,0.0097,0.6661,0.0175
"[20, 30, 40, 50, 60, 70, 80, 90, 100]",0.8718,0.0107,0.6642,0.0173
"[20, 30, 40, 50, 60, 70, 80, 90, 100]",0.8739,0.0082,0.6628,0.0155
