epoch,acc_subj,std_subj,acc_MR,std_MR
10,0.7111,0.0072,0.5572,0.0213
20,0.847,0.011,0.6106,0.0168
30,0.8745,0.0064,0.6547,0.01
40,0.8644,0.0116,0.669,0.0156
50,0.8479,0.0077,0.6733,0.0134
60,0.8328,0.0088,0.6792,0.0135
70,0.8298,0.0125,0.674,0.0099
80,0.8273,0.0123,0.6741,0.0064
90,0.8229,0.0129,0.6799,0.0104
100,0.8245,0.0085,0.6734,0.0148
