epoch,acc_subj,std_subj,acc_MR,std_MR
"[20, 30, 40, 50, 60, 70, 80, 90, 100]",0.7015,0.0147,0.5618,0.0166
"[20, 30, 40, 50, 60, 70, 80, 90, 100]",0.7002,0.0065,0.5543,0.0187
"[20, 30, 40, 50, 60, 70, 80, 90, 100]",0.7029,0.0162,0.558,0.0136
"[20, 30, 40, 50, 60, 70, 80, 90, 100]",0.7051,0.008,0.5618,0.0099
"[20, 30, 40, 50, 60, 70, 80, 90, 100]",0.7026,0.0066,0.5588,0.0155
"[20, 30, 40, 50, 60, 70, 80, 90, 100]",0.7024,0.0115,0.5585,0.0093
"[20, 30, 40, 50, 60, 70, 80, 90, 100]",0.7056,0.0173,0.5596,0.0166
"[20, 30, 40, 50, 60, 70, 80, 90, 100]",0.7013,0.0094,0.5624,0.0143
"[20, 30, 40, 50, 60, 70, 80, 90, 100]",0.703,0.0116,0.5657,0.0157
