epoch,acc_subj,std_subj,acc_MR,std_MR
10,0.6784,0.0187,0.542,0.0102
20,0.8224,0.0057,0.5973,0.0119
30,0.8661,0.0108,0.6523,0.0172
40,0.8803,0.0088,0.6779,0.0101
50,0.8851,0.0092,0.6911,0.0118
60,0.8862,0.0071,0.6983,0.0107
70,0.8873,0.0086,0.7032,0.0132
80,0.8897,0.0075,0.6974,0.0072
90,0.8916,0.0111,0.7049,0.0142
100,0.8894,0.0097,0.7066,0.0176
