epoch,acc_subj,std_subj,acc_MR,std_MR
20,0.8231,0.0106,0.6002,0.0154
30,0.863,0.0056,0.66,0.0094
40,0.8835,0.0167,0.6912,0.0142
50,0.8885,0.0102,0.7015,0.0067
60,0.8906,0.0092,0.7123,0.0135
70,0.8907,0.0176,0.7155,0.0134
80,0.8937,0.0106,0.7201,0.015
90,0.8917,0.0098,0.7143,0.0102
100,0.8901,0.0053,0.7145,0.0114
