ARI_random,NMI_random,ARI_kmeans,NMI_kmeans
0.575,3.725,0.011,1.117
0.313,3.242,0.011,1.056
0.551,3.72,0.011,1.109
0.571,3.767,0.011,1.094
0.564,3.743,0.011,1.083
0.317,3.319,0.018,0.988
0.617,3.777,0.011,1.042
0.365,3.425,0.011,1.052
0.317,3.295,0.011,1.052
0.566,3.698,0.011,1.087
0.5,3.6,,
0.1,0.2,,
