ARI_random,NMI_random,ARI_kmeans,NMI_kmeans
44.639,62.639,48.165,64.104
47.141,63.701,45.141,62.566
43.807,62.142,47.473,65.589
45.382,63.326,46.087,63.341
47.547,64.379,43.496,62.456
45.722,63.586,45.446,63.071
45.858,64.352,46.694,63.951
45.932,64.443,45.819,63.472
47.603,64.241,44.8,62.031
44.913,63.582,46.982,63.611
45.8544,63.6391,,
1.264025334,0.775576409,,
