ARI_random,NMI_random,ARI_kmeans,NMI_kmeans
22.426,41.356,24.072,42.79
24.587,43.584,24.69,43.661
24.608,43.677,24.66,43.625
24.707,43.64,24.68,43.636
24.57,43.698,24.333,42.836
24.54,43.626,24.655,43.587
24.658,43.624,23.109,41.044
24.53,43.58,24.651,43.594
24.631,43.565,24.585,43.561
24.722,43.633,24.555,43.614
24.4,43.4,,
0.7,0.7,,
