ARI_random,NMI_random,ARI_kmeans,NMI_kmeans
10.964,37.006,6.709,31.957
8.563,38.486,7.461,34.381
11.108,38.507,8.954,33.147
8.245,36.77,7.346,36.513
11.02,38.593,7.16,32.737
7.307,36.773,8.124,37.691
8.004,37.494,6.234,31.077
10.975,37.049,8.127,36.515
8.894,38.785,7.286,33.751
8.736,39.878,6.593,32.851
9.4,37.9,,
1.5,1.1,,
