ARI_random,NMI_random,ARI_kmeans,NMI_kmeans
0.777,3.912,0.455,2.606
0.75,3.873,0.455,2.607
0.777,3.909,0.333,2.496
0.777,3.909,0.252,2.395
0.8,3.831,0.308,2.496
0.798,3.823,0.333,2.522
0.782,3.929,0.461,2.593
0.777,3.909,0.453,2.581
0.777,3.909,0.333,2.519
0.779,3.769,0.455,2.553
0.78,3.9,,
0.01,0.1,,
